Nearest City Name,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
springdale,36.19,-94.13,28.04,63,1,6.93
sao felix do xingu,-6.64,-51.99,72.93,97,0,2.26
hoyanger,61.22,6.07,35.15,93,75,3.36
walvis bay,-22.96,14.51,58.98,100,80,1.36
coquimbo,-29.95,-71.34,55.4,82,0,3.98
la ronge,55.1,-105.28,-7.61,76,40,3.36
barrow,71.29,-156.79,8.6,92,90,12.75
hithadhoo,-0.6,73.08,81.48,100,88,9.8
hamilton,43.23,-79.95,32.49,100,75,14.99
chukhloma,58.75,42.68,22.49,97,92,8.34
thompson,55.74,-97.86,-5.81,76,40,11.41
ushuaia,-54.8,-68.3,36.75,84,36,18.63
yellowknife,62.46,-114.35,8.6,84,5,9.17
atuona,-9.8,-139.03,79.82,100,76,17.58
bredasdorp,-34.53,20.04,69.8,68,56,23.04
el alto,-4.27,-81.21,69.51,90,0,6.89
ushuaia,-54.8,-68.3,36.75,84,36,18.63
ipora,-16.44,-51.12,71.4,96,68,2.98
alice springs,-23.7,133.88,95,24,36,12.75
torbay,47.67,-52.73,32,100,90,13.87
tymovskoye,50.85,142.66,-3.75,50,68,3.71
sahuaripa,29.05,-109.23,57,66,92,1.7
geraldton,-28.77,114.6,82.4,48,0,27.51
vaini,-21.2,-175.2,82.4,78,75,2.98
grand gaube,-20.01,57.66,82.4,65,75,14.99
ushuaia,-54.8,-68.3,36.75,84,36,18.63
sao miguel do araguaia,-13.28,-50.16,72.57,91,12,2.82
glasgow,55.87,-4.26,49.37,81,90,20.8
manzhouli,49.6,117.43,10.07,50,0,7.34
chuy,-33.7,-53.46,64.92,95,92,10.54
longyearbyen,78.22,15.64,23,79,40,6.93
rikitea,-23.12,-134.97,76.62,100,56,8.79
iqaluit,63.75,-68.51,19.4,73,90,9.17
rikitea,-23.12,-134.97,76.62,100,56,8.79
ushuaia,-54.8,-68.3,36.75,84,36,18.63
trenggalek,-8.05,111.72,90.03,48,80,4.05
nanortalik,60.14,-45.24,25.95,90,8,1.97
rikitea,-23.12,-134.97,76.62,100,56,8.79
butaritari,3.07,172.79,82.65,100,44,11.59
hilo,19.73,-155.09,59.18,49,40,18.34
tuktoyaktuk,69.45,-133.04,-0.41,91,40,3.36
cayenne,4.93,-52.33,75.2,100,40,5.1
upernavik,72.79,-56.15,22.4,100,56,7.63
broken hill,-31.95,141.43,79.37,34,0,13.38
anadyr,64.75,177.48,10.4,78,0,20.13
cherskiy,68.75,161.3,5.7,75,68,2.26
vaini,-21.2,-175.2,82.4,78,75,2.98
albany,42.65,-73.76,54.07,87,90,11.41
mar del plata,-38,-57.56,60.8,87,0,6.93
salalah,17.02,54.09,71.6,100,0,13.87
bredasdorp,-34.53,20.04,69.8,68,56,23.04
te anau,-45.42,167.72,72.89,45,64,2.04
hermanus,-34.42,19.23,65.24,71,56,5.84
thompson,55.74,-97.86,-5.81,76,40,11.41
livingston,55.9,-3.52,48.81,81,90,19.46
busselton,-33.65,115.33,71.13,89,0,15.68
thompson,55.74,-97.86,-5.81,76,40,11.41
ushuaia,-54.8,-68.3,36.75,84,36,18.63
hermanus,-34.42,19.23,65.24,71,56,5.84
albany,42.65,-73.76,54.07,87,90,11.41
bathsheba,13.22,-59.52,80.6,83,40,18.34
kutahya,39.42,29.98,30.2,92,75,12.75
banda aceh,5.56,95.32,82.52,88,56,7.52
souillac,-20.52,57.52,82.4,65,75,14.99
hermanus,-34.42,19.23,65.24,71,56,5.84
cape town,-33.93,18.42,66.2,68,0,5.82
vaini,-21.2,-175.2,82.4,78,75,2.98
jamestown,42.1,-79.24,30.85,63,90,23.04
orlik,52.52,99.83,6.47,77,0,2.53
paracuru,-3.41,-39.03,80.6,78,20,13.87
saint-philippe,-21.36,55.77,81.43,58,0,6.93
young,-32.68,-57.63,66.54,79,0,12.15
cape town,-33.93,18.42,66.2,68,0,5.82
hithadhoo,-0.6,73.08,81.48,100,88,9.8
provideniya,64.38,-173.3,21.2,57,75,4.47
punta arenas,-53.15,-70.92,42.8,70,75,10.29
mahebourg,-20.41,57.7,82.4,65,75,14.99
casablanca,33.59,-7.62,39.2,93,0,5.55
kontagora,10.4,5.47,63.17,53,8,5.21
nangomba,-10.9,38.5,82.83,65,0,4.27
samarinda,-0.5,117.15,90.62,63,36,2.86
bethel,41.37,-73.41,55.4,87,90,10.29
shimoda,34.67,138.95,51.8,53,40,5.82
ushuaia,-54.8,-68.3,36.75,84,36,18.63
pevek,69.7,170.31,3.45,83,20,6.11
hobart,-42.88,147.33,60.8,63,75,9.17
cidreira,-30.18,-50.21,68.52,95,68,16.69
saint-philippe,-21.36,55.77,81.43,58,0,6.93
chuy,-33.7,-53.46,64.92,95,92,10.54
butaritari,3.07,172.79,82.65,100,44,11.59
tual,-5.67,132.75,83.46,100,36,12.66
hermanus,-34.42,19.23,65.24,71,56,5.84
rikitea,-23.12,-134.97,76.62,100,56,8.79
guerrero negro,27.98,-114.06,60.51,78,48,5.06
faanui,-16.48,-151.75,79.77,100,44,10.13
bethel,41.37,-73.41,55.4,87,90,10.29
albany,42.65,-73.76,54.07,87,90,11.41
qaanaaq,77.48,-69.36,7.14,98,76,3.27
georgetown,6.8,-58.16,75.2,100,20,6.78
georgetown,6.8,-58.16,75.2,100,20,6.78
guanica,17.97,-66.91,73.4,94,5,5.82
codrington,-38.27,141.97,64.2,89,48,8.86
new norfolk,-42.78,147.06,60.8,63,75,9.17
chapais,49.78,-74.85,33.8,86,90,10.29
vanavara,60.34,102.28,19.07,89,92,7.52
thinadhoo,0.53,72.93,83.24,99,88,12.33
lagoa,39.05,-27.98,66.54,97,92,15.84
lebu,-37.62,-73.65,54.48,98,92,11.88
aragarcas,-15.9,-52.25,70.55,98,68,3.2
hobart,-42.88,147.33,60.8,63,75,9.17
rikitea,-23.12,-134.97,76.62,100,56,8.79
cherepanovo,54.22,83.38,16.5,92,76,5.99
puerto ayora,-0.74,-90.35,70.95,100,80,10.25
dingle,11,122.67,86.3,68,8,11.25
butaritari,3.07,172.79,82.65,100,44,11.59
mar del plata,-38,-57.56,60.8,87,0,6.93
saint-pierre,-21.34,55.48,81.39,58,0,6.93
sorland,67.67,12.69,33.8,80,75,3.36
port alfred,-33.59,26.89,67.4,91,88,15.46
punta arenas,-53.15,-70.92,42.8,70,75,10.29
ushuaia,-54.8,-68.3,36.75,84,36,18.63
jamestown,42.1,-79.24,30.85,63,90,23.04
nakamura,32.98,132.93,50.84,100,0,9.31
cidreira,-30.18,-50.21,68.52,95,68,16.69
cidreira,-30.18,-50.21,68.52,95,68,16.69
albany,42.65,-73.76,54.07,87,90,11.41
kapaa,22.08,-159.32,67.15,68,75,16.11
kapaa,22.08,-159.32,67.15,68,75,16.11
bartica,6.4,-58.62,75.2,100,20,3.49
busselton,-33.65,115.33,71.13,89,0,15.68
ushuaia,-54.8,-68.3,36.75,84,36,18.63
longyearbyen,78.22,15.64,23,79,40,6.93
tecoanapa,16.52,-98.75,62.99,100,0,2.08
saint george,37.1,-113.58,42.8,28,1,17.22
katsuura,35.13,140.3,51.8,40,20,6.93
leningradskiy,69.38,178.42,15.74,90,68,16.46
crib point,-38.35,145.2,64.74,91,12,12.26
esperance,-33.87,121.9,67.8,69,56,14.9
bentiu,9.23,29.83,75.36,79,0,4.76
innisfail,-17.53,146.03,84.72,49,32,4.76
cape town,-33.93,18.42,66.2,68,0,5.82
port alfred,-33.59,26.89,67.4,91,88,15.46
ushuaia,-54.8,-68.3,36.75,84,36,18.63
totness,5.88,-56.32,78.74,100,88,11.88
barrow,71.29,-156.79,8.6,92,90,12.75
hasaki,35.73,140.83,50,43,20,4.7
grindavik,63.84,-22.43,24.67,80,20,17.22
port elizabeth,-33.92,25.57,66.2,82,40,12.75
atuona,-9.8,-139.03,79.82,100,76,17.58
east wenatchee bench,47.43,-120.28,27.18,92,1,3.36
shetpe,44.17,52.12,32.79,52,12,17.47
souillac,-20.52,57.52,82.4,65,75,14.99
jamestown,42.1,-79.24,30.85,63,90,23.04
butaritari,3.07,172.79,82.65,100,44,11.59
muhos,64.75,26.17,23,92,76,6.93
punta arenas,-53.15,-70.92,42.8,70,75,10.29
mar del plata,-38,-57.56,60.8,87,0,6.93
saskylakh,71.92,114.08,-28.37,45,24,2.86
cabo san lucas,22.89,-109.91,73.4,83,75,6.73
pevek,69.7,170.31,3.45,83,20,6.11
busselton,-33.65,115.33,71.13,89,0,15.68
teya,60.38,92.63,18.21,74,44,9.01
punta arenas,-53.15,-70.92,42.8,70,75,10.29
punta arenas,-53.15,-70.92,42.8,70,75,10.29
bluff,-46.6,168.33,62.31,97,88,9.31
boende,-0.22,20.87,73.74,93,88,3.09
mahebourg,-20.41,57.7,82.4,65,75,14.99
rikitea,-23.12,-134.97,76.62,100,56,8.79
upernavik,72.79,-56.15,22.4,100,56,7.63
eyl,7.98,49.82,77.88,86,0,19.82
jamestown,42.1,-79.24,30.85,63,90,23.04
te anau,-45.42,167.72,72.89,45,64,2.04
shingu,33.73,135.98,46.4,49,75,13.87
hecelchakan,20.17,-90.13,77,88,5,5.82
ulaangom,49.98,92.07,13.08,63,8,1.52
harper,4.38,-7.72,75.2,100,20,4.54
severo-kurilsk,50.68,156.12,27.8,100,80,14.27
atuona,-9.8,-139.03,79.82,100,76,17.58
dikson,73.51,80.55,-3.75,100,24,28.59
san patricio,19.22,-104.7,65.55,100,0,2.19
kalmunai,7.42,81.82,80.04,92,92,8.52
vanino,49.09,140.25,6.92,100,64,15.28
chicama,-7.84,-79.15,62.6,93,40,8.05
tuktoyaktuk,69.45,-133.04,-0.41,91,40,3.36
camara de lobos,32.63,-16.97,62.6,77,20,6.93
ponta delgada,37.73,-25.67,66.2,93,75,10.29
salekhard,66.53,66.6,10.34,67,24,8.52
georgetown,6.8,-58.16,75.2,100,20,6.78
yellowknife,62.46,-114.35,8.6,84,5,9.17
iqaluit,63.75,-68.51,19.4,73,90,9.17
rikitea,-23.12,-134.97,76.62,100,56,8.79
kangaatsiaq,68.31,-53.46,26.49,100,36,19.6
albany,42.65,-73.76,54.07,87,90,11.41
egvekinot,66.32,-179.17,14.75,78,76,12.93
kpandu,7,0.29,72.75,88,0,1.86
kapaa,22.08,-159.32,67.15,68,75,16.11
kapaa,22.08,-159.32,67.15,68,75,16.11
rikitea,-23.12,-134.97,76.62,100,56,8.79
alofi,-19.06,-169.92,78.8,94,80,3.36
hilo,19.73,-155.09,59.18,49,40,18.34
thompson,55.74,-97.86,-5.81,76,40,11.41
malakal,9.53,31.66,80.9,39,0,4.09
arraial do cabo,-22.97,-42.03,73.25,93,56,9.13
solnechnyy,50.72,136.63,-20.13,58,0,2.08
ribeira grande,38.52,-28.7,66.95,96,100,17.18
bluff,-46.6,168.33,62.31,97,88,9.31
coro,11.4,-69.67,77.79,95,36,10.65
hermanus,-34.42,19.23,65.24,71,56,5.84
pisco,-13.7,-76.22,66.2,88,0,13.87
nanortalik,60.14,-45.24,25.95,90,8,1.97
piney green,34.72,-77.32,62.62,100,1,6.93
ushuaia,-54.8,-68.3,36.75,84,36,18.63
dana point,33.47,-117.7,58.73,14,1,8.05
fonte boa,-2.5,-66.27,75.05,97,12,3.27
nalut,31.87,10.98,39.63,94,80,3.76
yellowknife,62.46,-114.35,8.6,84,5,9.17
mar del plata,-38,-57.56,60.8,87,0,6.93
codrington,-38.27,141.97,64.2,89,48,8.86
iqaluit,63.75,-68.51,19.4,73,90,9.17
bosconia,9.97,-73.88,69.15,82,20,2.59
vagay,57.94,69.02,20.19,83,8,8.75
tiksi,71.69,128.87,0.48,74,76,3.76
sorland,67.67,12.69,33.8,80,75,3.36
pevek,69.7,170.31,3.45,83,20,6.11
tuyen quang,21.82,105.22,67.4,85,36,4.09
keelung,25.13,121.74,62.76,82,75,12.75
srednekolymsk,67.45,153.68,-7.49,77,68,1.81
rikitea,-23.12,-134.97,76.62,100,56,8.79
tasiilaq,65.61,-37.64,15.8,61,0,3.36
tasiilaq,65.61,-37.64,15.8,61,0,3.36
touros,-5.2,-35.46,78.33,92,76,9.31
rikitea,-23.12,-134.97,76.62,100,56,8.79
qaanaaq,77.48,-69.36,7.14,98,76,3.27
jamestown,42.1,-79.24,30.85,63,90,23.04
cape town,-33.93,18.42,66.2,68,0,5.82
lieksa,63.32,30.02,22.35,89,76,4.27
bethel,41.37,-73.41,55.4,87,90,10.29
rongcheng,30.63,117.85,51.51,71,12,3.27
yellowknife,62.46,-114.35,8.6,84,5,9.17
nadym,65.53,72.52,29.69,91,88,16.8
punta arenas,-53.15,-70.92,42.8,70,75,10.29
cabo san lucas,22.89,-109.91,73.4,83,75,6.73
ushuaia,-54.8,-68.3,36.75,84,36,18.63
berlevag,70.86,29.09,26.6,86,0,23.04
pevek,69.7,170.31,3.45,83,20,6.11
hobart,-42.88,147.33,60.8,63,75,9.17
ushuaia,-54.8,-68.3,36.75,84,36,18.63
ugoofaaru,5.67,73,81.21,100,24,10.65
ushuaia,-54.8,-68.3,36.75,84,36,18.63
portland,45.52,-122.68,41.86,84,1,8.05
fengrun,39.83,118.12,43.5,36,0,4.61
santa lucia,27.91,-15.54,66.2,39,0,12.75
bluff,-46.6,168.33,62.31,97,88,9.31
busselton,-33.65,115.33,71.13,89,0,15.68
luderitz,-26.65,15.16,55.4,100,0,1.12
atuona,-9.8,-139.03,79.82,100,76,17.58
east london,-33.02,27.91,64.4,77,0,4.7
kapaa,22.08,-159.32,67.15,68,75,16.11
ouadda,8.08,22.4,71.27,60,24,8.79
ekibastuz,51.67,75.37,22.17,84,92,5.61
chokurdakh,70.63,147.92,6.24,90,64,5.5
kavieng,-2.57,150.8,83.73,100,56,7.23
conakry,9.54,-13.68,80.6,88,20,6.89
rikitea,-23.12,-134.97,76.62,100,56,8.79
aitape,-3.14,142.35,84.18,91,64,11.65
bandar-e lengeh,26.56,54.88,62.6,51,0,6.93
general roca,-39.03,-67.58,71.6,68,0,4.7
longyearbyen,78.22,15.64,23,79,40,6.93
lompoc,34.64,-120.46,44.2,45,0,6.93
borogontsy,62.67,131.17,-38.04,77,64,3.31
georgetown,6.8,-58.16,75.2,100,20,6.78
yinchuan,38.47,106.27,32.75,27,68,3.6
hilo,19.73,-155.09,59.18,49,40,18.34
novobelokatay,55.71,58.95,22.22,78,68,7.85
port alfred,-33.59,26.89,67.4,91,88,15.46
mahebourg,-20.41,57.7,82.4,65,75,14.99
rikitea,-23.12,-134.97,76.62,100,56,8.79
ushuaia,-54.8,-68.3,36.75,84,36,18.63
dabat,12.98,37.77,67.8,31,0,2.82
gimli,50.63,-96.99,14.07,72,80,23.55
cayenne,4.93,-52.33,75.2,100,40,5.1
ponta delgada,37.73,-25.67,66.2,93,75,10.29
hithadhoo,-0.6,73.08,81.48,100,88,9.8
salalah,17.02,54.09,71.6,100,0,13.87
hithadhoo,-0.6,73.08,81.48,100,88,9.8
ternate,0.8,127.4,85.26,100,8,8.63
tucurui,-3.77,-49.67,84.18,61,32,5.32
sao filipe,14.9,-24.5,76.26,96,0,13.67
atuona,-9.8,-139.03,79.82,100,76,17.58
bisert,56.86,59.05,24.33,75,88,9.64
port alfred,-33.59,26.89,67.4,91,88,15.46
don sak,9.32,99.69,85.14,83,20,14.99
lardos,36.09,28.02,50,46,20,19.46
lompoc,34.64,-120.46,44.2,45,0,6.93
provideniya,64.38,-173.3,21.2,57,75,4.47
san cristobal,7.77,-72.22,78.8,74,40,2.24
paragominas,-2.97,-47.48,79.37,65,0,6.85
cody,44.53,-109.06,21.2,73,1,6.93
punta arenas,-53.15,-70.92,42.8,70,75,10.29
rikitea,-23.12,-134.97,76.62,100,56,8.79
benghazi,32.12,20.07,63.17,100,44,24.4
mlalo,-4.93,38.93,86.79,61,8,5.1
riverton,40.52,-111.94,23.86,79,1,3.36
butaritari,3.07,172.79,82.65,100,44,11.59
bredasdorp,-34.53,20.04,69.8,68,56,23.04
smithers,54.78,-127.17,23,92,90,2.24
busselton,-33.65,115.33,71.13,89,0,15.68
rumphi,-11.02,33.86,73.34,66,0,3.09
priyutovo,53.9,53.93,22.17,86,92,16.58
avarua,-21.21,-159.78,78.8,94,75,17.22
kodiak,57.79,-152.41,32,100,1,4.99
hilo,19.73,-155.09,59.18,49,40,18.34
albany,42.65,-73.76,54.07,87,90,11.41
rabak,13.18,32.74,79.37,30,0,12.1
lebu,-37.62,-73.65,54.48,98,92,11.88
victoria,48.43,-123.37,39.52,86,20,5.82
victoria,48.43,-123.37,39.52,86,20,5.82
rio gallegos,-51.62,-69.22,48.2,61,20,16.11
clyde river,70.47,-68.59,6.8,84,76,7.85
pyay,18.82,95.22,84.59,71,12,7.11
hermanus,-34.42,19.23,65.24,71,56,5.84
puerto ayora,-0.74,-90.35,70.95,100,80,10.25
lodja,-3.48,23.43,74.55,91,92,3.31
jamestown,42.1,-79.24,30.85,63,90,23.04
punta arenas,-53.15,-70.92,42.8,70,75,10.29
kavieng,-2.57,150.8,83.73,100,56,7.23
luoyang,34.68,112.45,44.31,57,88,5.73
avarua,-21.21,-159.78,78.8,94,75,17.22
hilo,19.73,-155.09,59.18,49,40,18.34
jamestown,42.1,-79.24,30.85,63,90,23.04
aklavik,68.22,-135.01,1.4,77,5,6.93
anadyr,64.75,177.48,10.4,78,0,20.13
upernavik,72.79,-56.15,22.4,100,56,7.63
ushuaia,-54.8,-68.3,36.75,84,36,18.63
hermanus,-34.42,19.23,65.24,71,56,5.84
hermanus,-34.42,19.23,65.24,71,56,5.84
cape town,-33.93,18.42,66.2,68,0,5.82
upernavik,72.79,-56.15,22.4,100,56,7.63
hithadhoo,-0.6,73.08,81.48,100,88,9.8
ohara,35.25,140.38,51.24,43,20,4.7
hvide sande,56,8.13,46.4,93,92,18.34
vao,-22.67,167.48,75.14,99,92,12.93
itaocara,-21.67,-42.08,68.97,98,80,2.75
nerchinskiy zavod,51.31,119.61,-8.88,61,24,1.52
presidencia roque saenz pena,-26.79,-60.44,72.3,68,20,8.86
porto novo,17.02,-25.06,73.4,73,20,14.99
dikson,73.51,80.55,-3.75,100,24,28.59
victoria,48.43,-123.37,39.52,86,20,5.82
sioux lookout,50.1,-91.92,10.4,78,90,17.22
nome,64.5,-165.41,26.6,100,75,16.11
bethel,41.37,-73.41,55.4,87,90,10.29
avarua,-21.21,-159.78,78.8,94,75,17.22
kapaa,22.08,-159.32,67.15,68,75,16.11
sola,-13.88,167.55,78.24,100,88,5.61
vaini,-21.2,-175.2,82.4,78,75,2.98
lompoc,34.64,-120.46,44.2,45,0,6.93
wewak,-3.55,143.63,84.9,76,92,6.33
kimbe,-5.55,150.14,79.64,100,100,5.99
dondo,-19.61,34.74,76.17,97,92,2.98
mahebourg,-20.41,57.7,82.4,65,75,14.99
busselton,-33.65,115.33,71.13,89,0,15.68
harrison,40.97,-73.71,56.3,100,75,5.82
hermanus,-34.42,19.23,65.24,71,56,5.84
punta arenas,-53.15,-70.92,42.8,70,75,10.29
chavakkad,10.53,76.05,86,62,20,3.53
constitucion,-35.33,-72.42,54.03,100,88,3.31
xining,36.62,101.77,30.27,31,64,2.71
kavaratti,10.57,72.64,81.12,100,76,7.29
bambous virieux,-20.34,57.76,84.2,58,40,14.99
vaini,-21.2,-175.2,82.4,78,75,2.98
pangnirtung,66.15,-65.71,6.87,94,32,2.98
geraldton,-28.77,114.6,82.4,48,0,27.51
ouesso,1.61,16.05,72.62,97,8,2.98
butaritari,3.07,172.79,82.65,100,44,11.59
sinegorskiy,48.01,40.84,26.49,87,36,4.88
hofn,64.25,-15.21,33.78,100,92,26.24
sayyan,15.17,44.32,50.61,31,0,2.59
hamilton,43.23,-79.95,32.49,100,75,14.99
nibbar,36.29,8.77,41,93,20,2.48
delijan,33.99,50.68,37.25,67,0,2.19
codrington,-38.27,141.97,64.2,89,48,8.86
zhangjiakou,40.81,114.88,29.1,43,0,10.36
roald,62.58,6.13,32.4,100,0,17.22
hobart,-42.88,147.33,60.8,63,75,9.17
toora-khem,52.47,96.11,16.68,75,76,3.31
rio gallegos,-51.62,-69.22,48.2,61,20,16.11
vaini,-21.2,-175.2,82.4,78,75,2.98
port lincoln,-34.73,135.87,66.95,78,0,11.1
grindavik,63.84,-22.43,24.67,80,20,17.22
esperance,-33.87,121.9,67.8,69,56,14.9
bluff,-46.6,168.33,62.31,97,88,9.31
butaritari,3.07,172.79,82.65,100,44,11.59
hobart,-42.88,147.33,60.8,63,75,9.17
punta arenas,-53.15,-70.92,42.8,70,75,10.29
moron,-34.65,-58.62,69.21,78,0,12.75
banamba,13.55,-7.45,64.25,37,76,11.32
quatre cocos,-20.21,57.76,84.2,58,40,14.99
east london,-33.02,27.91,64.4,77,0,4.7
mercedes,-34.65,-59.43,65.69,77,68,5.84
moerai,-22.43,-151.33,77.07,99,76,17.18
norman wells,65.28,-126.83,5,84,20,11.41
lusambo,-4.97,23.45,73.79,94,80,2.82
upernavik,72.79,-56.15,22.4,100,56,7.63
castro,-24.79,-50.01,63.93,92,92,8.01
manadhoo,5.77,73.38,82.07,100,48,11.88
albany,42.65,-73.76,54.07,87,90,11.41
cape town,-33.93,18.42,66.2,68,0,5.82
rikitea,-23.12,-134.97,76.62,100,56,8.79
cape town,-33.93,18.42,66.2,68,0,5.82
yellowknife,62.46,-114.35,8.6,84,5,9.17
ushuaia,-54.8,-68.3,36.75,84,36,18.63
